WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
12;61;01;1;0950463;00089;ul.;Abrahama;;2021-11-27
12;61;01;1;0950463;00138;ul.;Agatowa;;2021-11-27
12;61;01;1;0950463;00142;ul.;Agawy;;2021-11-27
12;61;01;1;0950463;00145;ul.;Agnieszki;św.;2021-11-27
12;61;01;1;0950463;00148;ul.;Agrestowa;;2021-11-27
12;61;01;1;0950463;00157;ul.;Akacjowa;;2021-11-27
12;61;01;1;0950463;00160;ul.;Akademicka;;2021-11-27
12;61;01;1;0950463;00169;ul.;Aktorów;;2021-11-27
12;61;01;1;0950463;00177;ul.;Albańska;;2021-11-27
12;61;01;1;0950463;00178;ul.;Albatrosów;;2021-11-27
12;61;01;1;0950463;02047;ul.;Alberta;św. Brata;2021-11-27
12;61;01;1;0950463;52752;al.;Aleja 29 Listopada;;2021-11-27
12;61;01;1;0950463;45521;al.;Aleja 3 Maja;;2021-11-27
12;61;01;1;0950463;44663;al.;Aleja Adama Mickiewicza;;2021-11-27
12;61;01;1;0950463;52781;al.;Aleja Adolfa Dygasińskiego;;2021-11-27
12;61;01;1;0950463;52784;al.;Aleja Adolfa Hyły;;2021-11-27
12;61;01;1;0950463;52755;al.;Aleja Artura Grottgera;;2021-11-27
12;61;01;1;0950463;52753;al.;Aleja Do Kopca;;2021-11-27
12;61;01;1;0950463;52780;al.;Aleja Edwarda Dembowskiego;;2021-11-27
12;61;01;1;0950463;52783;al.;Aleja Elvisa Presleya;;2021-11-27
12;61;01;1;0950463;52772;al.;Aleja gen. Jana Skrzyneckiego;;2021-11-27
12;61;01;1;0950463;52769;al.;Aleja gen. Tadeusza Bora-Komorowskiego;;2021-11-27
12;61;01;1;0950463;51517;al.;Aleja gen. Władysława Andersa;;2021-11-27
12;61;01;1;0950463;52778;al.;Aleja Ignacego Daszyńskiego;;2021-11-27
12;61;01;1;0950463;37675;al.;Aleja Jana Pawła II;;2021-11-27
12;61;01;1;0950463;45576;al.;Aleja Jerzego Waszyngtona;;2021-11-27
12;61;01;1;0950463;52765;al.;Aleja Juliusza Słowackiego;;2021-11-27
12;61;01;1;0950463;52756;al.;Aleja Kasy Oszczędności Miasta Krakowa;;2021-11-27
12;61;01;1;0950463;40374;al.;Aleja Kasztanowa;;2021-11-27
12;61;01;1;0950463;52757;al.;Aleja Kijowska;;2021-11-27
12;61;01;1;0950463;52758;al.;Aleja Konarowa;;2021-11-27
12;61;01;1;0950463;52754;al.;Aleja Marszałka Ferdinanda Focha;;2021-11-27
12;61;01;1;0950463;52760;al.;Aleja Mieczysława Małeckiego;;2021-11-27
12;61;01;1;0950463;52748;al.;Aleja Modrzewiowa;;2021-11-27
12;61;01;1;0950463;52761;al.;Aleja Panieńskich Skał;;2021-11-27
12;61;01;1;0950463;52776;al.;Aleja płk. Władysława Beliny-Prażmowskiego;;2021-11-27
12;61;01;1;0950463;52782;al.;Aleja Pod Kopcem;;2021-11-27
12;61;01;1;0950463;38302;al.;Aleja Pokoju;;2021-11-27
12;61;01;1;0950463;52773;al.;Aleja Powstania Warszawskiego;;2021-11-27
12;61;01;1;0950463;52771;al.;Aleja Powstańców Śląskich;;2021-11-27
12;61;01;1;0950463;52770;al.;Aleja Przyjaźni;;2021-11-27
